"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","TOWN OF WASHTUCNA Council Position 1","Dustin L Swartz"," ","68","94.4444","City/Town"
"Adams","TOWN OF WASHTUCNA Council Position 1","WRITE-IN"," ","4","5.5556","City/Town"
"Adams","TOWN OF WASHTUCNA Council Position 2","Catherine Blankenship"," ","71","100","City/Town"
"Adams","TOWN OF WASHTUCNA Council Position 2","WRITE-IN"," ","0","0","City/Town"
"Adams","TOWN OF WASHTUCNA Council Position 5","Gary Marmes Jr"," ","73","100","City/Town"
"Adams","TOWN OF WASHTUCNA Council Position 5","WRITE-IN"," ","0","0","City/Town"
"Adams","ADAMS CO FIRE DIST 1 - LINCOLN CO FIRE DIST 10 Commissioner Position 2","Trevor Jantz"," ","173","98.8571","Fire"
"Adams","ADAMS CO FIRE DIST 1 - LINCOLN CO FIRE DIST 10 Commissioner Position 2","WRITE-IN"," ","2","1.1429","Fire"
"Adams","FIRE DISTRICT 2 Commissioner Position 3","LeRoy Watson Jr."," ","92","98.9247","Fire"
"Adams","FIRE DISTRICT 2 Commissioner Position 3","WRITE-IN"," ","1","1.0753","Fire"
"Adams","FIRE DISTRICT 3 Commissioner Position 1","Jon D Fink"," ","32","94.1176","Fire"
"Adams","FIRE DISTRICT 3 Commissioner Position 1","WRITE-IN"," ","2","5.8824","Fire"
"Adams","FIRE DISTRICT 4 Commissioner Position 2","Harry Harder"," ","4","100","Fire"
"Adams","FIRE DISTRICT 4 Commissioner Position 2","WRITE-IN"," ","0","0","Fire"
"Adams","FIRE DISTRICT 4 Commissioner Position 3","Herman Harder"," ","4","100","Fire"
"Adams","FIRE DISTRICT 4 Commissioner Position 3","WRITE-IN"," ","0","0","Fire"
"Adams","FIRE DISTRICT 4 Maintenance and Operation Levy","Approved"," ","4","100","Fire"
"Adams","FIRE DISTRICT 4 Maintenance and Operation Levy","Rejected"," ","0","0","Fire"
"Adams","FIRE DISTRICT 5 Commissioner Position 1","Chad Smith"," ","445","99.5526","Fire"
"Adams","FIRE DISTRICT 5 Commissioner Position 1","WRITE-IN"," ","2","0.4474","Fire"
"Adams","FIRE DISTRICT 6 Commissioner Position 2","Fritz Coon"," ","21","100","Fire"
"Adams","FIRE DISTRICT 6 Commissioner Position 2","WRITE-IN"," ","0","0","Fire"
"Adams","FIRE DISTRICT 7 Commissioner Position 1","David R Baumann"," ","35","100","Fire"
"Adams","FIRE DISTRICT 7 Commissioner Position 1","WRITE-IN"," ","0","0","Fire"
"Adams","WASHTUCNA PARK AND RECREATION 2 Commissioner Position 1","Carol Thompson"," ","108","100","Park and Recreation"
"Adams","WASHTUCNA PARK AND RECREATION 2 Commissioner Position 1","WRITE-IN"," ","0","0","Park and Recreation"
"Adams","WASHTUCNA PARK AND RECREATION 2 Maintenance and Operation Levy","Approved"," ","78","60.4651","Park and Recreation"
"Adams","WASHTUCNA PARK AND RECREATION 2 Maintenance and Operation Levy","Rejected"," ","51","39.5349","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Commissioner Position 1","Jason Sanger"," ","230","98.7124","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Commissioner Position 1","WRITE-IN"," ","3","1.2876","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Commissioner Position 2","Laurinda Ritz"," ","232","97.0711","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Commissioner Position 2","WRITE-IN"," ","7","2.9289","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Commissioner Position 3","Eric Labes"," ","244","97.992","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Commissioner Position 3","WRITE-IN"," ","5","2.008","Park and Recreation"
"Adams","RITZVILLE PARK AND RECREATION 4 Commissioner Position 3","Andrea Heider"," ","672","98.5337","Park and Recreation"
"Adams","RITZVILLE PARK AND RECREATION 4 Commissioner Position 3","WRITE-IN"," ","10","1.4663","Park and Recreation"
"Adams","RITZVILLE PARK AND RECREATION 4 Commissioner Position 4","Amber  Moore"," ","658","98.6507","Park and Recreation"
"Adams","RITZVILLE PARK AND RECREATION 4 Commissioner Position 4","WRITE-IN"," ","9","1.3493","Park and Recreation"
"Adams","RITZVILLE PARK AND RECREATION 4 Commissioner Position 5","Elena McKenzie"," ","657","97.6226","Park and Recreation"
"Adams","RITZVILLE PARK AND RECREATION 4 Commissioner Position 5","WRITE-IN"," ","16","2.3774","Park and Recreation"
"Adams","CEMETERY DISTRICT 1 Commissioner Position 3","Lora Hille"," ","115","98.2906","Cemetery"
"Adams","CEMETERY DISTRICT 1 Commissioner Position 3","WRITE-IN"," ","2","1.7094","Cemetery"
"Adams","CEMETERY DISTRICT 3 Commissioner Position 1","Dori Wilson"," ","86","33.9921","Cemetery"
"Adams","CEMETERY DISTRICT 3 Commissioner Position 1","Dawne Lillard"," ","165","65.2174","Cemetery"
"Adams","CEMETERY DISTRICT 3 Commissioner Position 1","WRITE-IN"," ","2","0.7905","Cemetery"
"Asotin","CITY OF CLARKSTON City of Clarkston EMS Levy","Yes, Levy"," ","742","67.8245","City/Town"
"Asotin","CITY OF CLARKSTON City of Clarkston EMS Levy","No, Levy"," ","352","32.1755","City/Town"
"Asotin","PORT DISTRICT A PORT COMMISSIONER 2","Jay Backus"," ","3802","98.3954","Port"
"Asotin","PORT DISTRICT A PORT COMMISSIONER 2","WRITE-IN"," ","62","1.6046","Port"
"Asotin","SCHOOL DISTRICT 420 SCHOOL DIRECTOR #04","Todd Clovis"," ","779","98.8579","School"
"Asotin","SCHOOL DISTRICT 420 SCHOOL DIRECTOR #04","WRITE-IN"," ","9","1.1421","School"
"Asotin","SCHOOL DISTRICT 250 SCHOOL DIRECTOR #01","Rick Hanks"," ","1943","48.1179","School"
"Asotin","SCHOOL DISTRICT 250 SCHOOL DIRECTOR #01","Dan Randles"," ","2061","51.0401","School"
"Asotin","SCHOOL DISTRICT 250 SCHOOL DIRECTOR #01","WRITE-IN"," ","34","0.842","School"
"Asotin","SCHOOL DISTRICT 250 SCHOOL DIRECTOR #02","Miles Sidener"," ","3047","97.7229","School"
"Asotin","SCHOOL DISTRICT 250 SCHOOL DIRECTOR #02","WRITE-IN"," ","71","2.2771","School"
"Asotin","SCHOOL DISTRICT 250 SCHOOL DIRECTOR #03","Dennis R. Lenz"," ","3096","97.7273","School"
"Asotin","SCHOOL DISTRICT 250 SCHOOL DIRECTOR #03","WRITE-IN"," ","72","2.2727","School"
"Asotin","SCHOOL DISTRICT 250 SCHOOL DIRECTOR #05","Chris Bunce"," ","2784","69.5305","School"
"Asotin","SCHOOL DISTRICT 250 SCHOOL DIRECTOR #05","Todd Snarr"," ","1201","29.995","School"
"Asotin","SCHOOL DISTRICT 250 SCHOOL DIRECTOR #05","WRITE-IN"," ","19","0.4745","School"
"Asotin","CITY OF ASOTIN MAYOR","Dwayne Paris"," ","247","69.1877","City/Town"
"Asotin","CITY OF ASOTIN MAYOR","Theresa Bailey"," ","109","30.5322","City/Town"
"Asotin","CITY OF ASOTIN MAYOR","WRITE-IN"," ","1","0.2801","City/Town"
"Asotin","CITY OF ASOTIN CITY COUNCIL MEMBER #01","David Weakland"," ","280","99.6441","City/Town"
"Asotin","CITY OF ASOTIN CITY COUNCIL MEMBER #01","WRITE-IN"," ","1","0.3559","City/Town"
"Asotin","CITY OF ASOTIN CITY COUNCIL MEMBER #02","Lori R. Loseth"," ","285","98.6159","City/Town"
"Asotin","CITY OF ASOTIN CITY COUNCIL MEMBER #02","WRITE-IN"," ","4","1.3841","City/Town"
"Asotin","CITY OF ASOTIN CITY COUNCIL MEMBER #04","Craig J. Stein"," ","273","99.2727","City/Town"
"Asotin","CITY OF ASOTIN CITY COUNCIL MEMBER #04","WRITE-IN"," ","2","0.7273","City/Town"
"Asotin","CITY OF CLARKSTON MAYOR","Monika Lawrence"," ","847","93.5912","City/Town"
"Asotin","CITY OF CLARKSTON MAYOR","WRITE-IN"," ","58","6.4088","City/Town"
"Asotin","CITY OF CLARKSTON CITY COUNCIL MEMBER #05","Skate Pierce"," ","858","96.4045","City/Town"
"Asotin","CITY OF CLARKSTON CITY COUNCIL MEMBER #05","WRITE-IN"," ","32","3.5955","City/Town"
"Asotin","CITY OF CLARKSTON CITY COUNCIL MEMBER #06","David Vinton"," ","811","95.9763","City/Town"
"Asotin","CITY OF CLARKSTON CITY COUNCIL MEMBER #06","WRITE-IN"," ","34","4.0237","City/Town"
"Asotin","CITY OF CLARKSTON CITY COUNCIL MEMBER #07","Steven D. Ebert"," ","805","96.0621","City/Town"
"Asotin","CITY OF CLARKSTON CITY COUNCIL MEMBER #07","WRITE-IN"," ","33","3.9379","City/Town"
"Asotin","CEMETERY DISTRICT COMMISSIONER #1","Shelley Williams"," ","4010","98.5985","Cemetery"
"Asotin","CEMETERY DISTRICT COMMISSIONER #1","WRITE-IN"," ","57","1.4015","Cemetery"
"Asotin","BLUE MOUNTAIN FIRE DIST NO 1 Fire Commissioner  2","Brad Forgey"," ","37","97.3684","Fire"
